iter	RMSE
0	2.363484069
1	2.253503428
2	2.149162621
3	2.050885746
4	1.958434691
5	1.869831806
6	1.786220814
7	1.706979893
8	1.632634425
9	1.562088836
10	1.495519432
11	1.433023098
12	1.373748088
13	1.317918377
14	1.265544432
15	1.216136007
16	1.169645465
17	1.126040164
18	1.085036863
19	1.046430359
20	1.010367678
21	0.9766974987
22	0.9450673773
23	0.9155074271
24	0.8879024746
25	0.8623952769
26	0.8383115022
27	0.8163069068
28	0.7953494473
29	0.7761728314
30	0.7583561626
31	0.7416450174
32	0.7261112032
33	0.7119612841
34	0.6988604947
35	0.6867744992
36	0.6753456186
37	0.6650071335
38	0.6555740965
39	0.6468217508
40	0.638777429
41	0.6313074862
42	0.6244379997
43	0.6181350662
44	0.6123747367
45	0.6070335325
46	0.6021617297
47	0.5976432801
48	0.5933344497
49	0.5895050968
50	0.5859157751
51	0.582641069
52	0.5797150616
53	0.5769573243
54	0.5744601928
55	0.5722749738
56	0.5701934198
57	0.5682620145
58	0.5664803843
59	0.5647342515
60	0.5632141681
61	0.5617489119
62	0.5603800023
63	0.5591629544
64	0.5580334215
65	0.5569784609
66	0.5557875304
67	0.5547518981
68	0.5537987678
69	0.5528616082
70	0.5520103108
71	0.5511780505
72	0.550283979
73	0.5494906058
74	0.5488250416
75	0.5481939225
76	0.5475943575
77	0.5469760084
78	0.5464477396
79	0.5458276482
80	0.5453685636
81	0.544965453
82	0.5445199682
83	0.5440289782
84	0.5436962567
85	0.5433069323
86	0.5428242679
87	0.542364956
88	0.5419273662
89	0.5414347487
90	0.5410963762
91	0.5408087584
92	0.5404252953
93	0.5400904457
94	0.5397857039
95	0.5394549456
96	0.5392178421
97	0.5389818922
98	0.5387560102
99	0.5384689027
100	0.5381149085
101	0.5378251611
102	0.5376131832
103	0.537216068
104	0.5370126933
105	0.536815179
106	0.5365982364
107	0.5363906065
108	0.5361299802
109	0.5359412309
110	0.53569956
111	0.5354581497
112	0.5352614902
113	0.5350896917
114	0.5349232873
115	0.5347270547
116	0.5345459937
117	0.5344026909
118	0.5340634703
119	0.5338652128
120	0.533725815
121	0.5335046403
122	0.5332469796
123	0.5331390067
124	0.5329433326
125	0.5326820593
126	0.5324876019
127	0.5323099292
128	0.5321945919
129	0.5320347294
130	0.5318792721
131	0.5316621107
132	0.5315218356
133	0.531369512
134	0.5312263196
135	0.5310198041
136	0.530890178
137	0.5306727967
138	0.5305048522
139	0.5303928864
140	0.5302926055
141	0.5300183396
142	0.5298933056
143	0.5297242297
144	0.5296295331
145	0.5295379595
146	0.5293528764
147	0.5292269672
148	0.5290141735
149	0.5289265556
150	0.528691697
151	0.5285423323
152	0.5283692071
153	0.5282841721
154	0.5281521033
155	0.5280743776
156	0.527917165
157	0.5277477133
158	0.5276489917
159	0.5275461994
160	0.5273618283
161	0.5272167692
162	0.5270579213
163	0.5269470563
164	0.526853875
165	0.5267307002
166	0.5265743432
167	0.5264460195
168	0.5263655561
169	0.5262451168
170	0.5260880373
171	0.525965212
172	0.5258714469
173	0.5257749931
174	0.5256805343
175	0.5255444353
176	0.5254540609
177	0.5252873991
178	0.5251502804
179	0.5250841392
180	0.5250039928
181	0.5249047125
182	0.5248011021
183	0.524642049
184	0.524521974
185	0.5244439203
186	0.5243305917
187	0.5242699918
188	0.5242060265
189	0.5241402173
190	0.5240261704
191	0.5239384149
192	0.5238305598
193	0.5237647596
194	0.5236929752
195	0.5235292519
196	0.523368099
197	0.5233020658
198	0.52317832
199	0.5231016194
200	0.5230522022
201	0.5229223023
202	0.522764248
203	0.5227184808
204	0.522645914
205	0.5225422688
206	0.5224287631
207	0.5222966107
208	0.5222401349
209	0.5221331208
210	0.5220794089
211	0.5219898038
212	0.5219476674
213	0.5218466624
214	0.5217605372
215	0.5217075074
216	0.5216179507
217	0.5214631425
218	0.5213478962
219	0.5212549337
220	0.5211961377
221	0.5210263361
222	0.5209397953
223	0.520900534
224	0.5208164328
225	0.5207326701
226	0.5206781043
227	0.5206193996
228	0.5205793797
229	0.5205127175
230	0.5204387582
231	0.5203520815
232	0.5202684181
233	0.5201973402
234	0.5200621105
235	0.5199378588
236	0.5198023709
237	0.5196994095
238	0.5196112576
239	0.5195386042
240	0.5194331682
241	0.5192346192
242	0.5191306258
243	0.5189257189
244	0.518833822
245	0.5187840999
246	0.5186757978
247	0.5186277963
248	0.5185003374
249	0.5184550123
250	0.5183557729
251	0.5182770279
252	0.5181974519
253	0.5181458082
254	0.5181016639
255	0.5180456499
256	0.51795695
257	0.5179133323
258	0.5177925197
259	0.5177062547
260	0.5176589128
261	0.5174930228
262	0.5174394038
263	0.5173439586
264	0.5172069264
265	0.5171293485
266	0.5170258124
267	0.5168877088
268	0.5168051086
269	0.5166910557
270	0.5166372073
271	0.5165935898
272	0.5165244943
273	0.5164072376
274	0.516336421
275	0.5162808267
276	0.5161736503
277	0.5161153905
278	0.5160004634
279	0.5158955969
280	0.5158454615
281	0.515780249
282	0.5156975841
283	0.5156253951
284	0.5155362236
285	0.515485781
286	0.5154040403
287	0.5153191795
288	0.5152157214
289	0.5151510092
290	0.5150969517
291	0.5149906129
292	0.5148721393
293	0.5147328742
294	0.514671742
295	0.514543542
296	0.5144983794
297	0.5144139232
298	0.5143040108
299	0.5142575996
300	0.5141859442
301	0.5140863915
302	0.5140171398
303	0.5139729018
304	0.5139187376
305	0.5138756816
306	0.5137912737
307	0.5137465627
308	0.5136985953
309	0.5136180702
310	0.5134876367
311	0.513368229
312	0.5133047887
313	0.5132461115
314	0.5131917602
315	0.513089605
316	0.5130369685
317	0.5129883395
318	0.5129557268
319	0.5129106997
320	0.5128532208
321	0.5128098067
322	0.5127675056
323	0.512710489
324	0.5126423688
325	0.5125500424
326	0.5124666461
327	0.5124196496
328	0.5123301337
329	0.5122768852
330	0.5121934305
331	0.5121082069
332	0.5120196731
333	0.5119823596
334	0.5119160592
335	0.5118277744
336	0.5117751539
337	0.5117138769
338	0.5116484281
339	0.5116068426
340	0.5115564973
341	0.5114524625
342	0.5113254514
343	0.5112693354
344	0.5112097251
345	0.511159504
346	0.5110856872
347	0.5110238773
348	0.5109689865
349	0.5109135545
350	0.5108919173
351	0.5108596769
352	0.5107851381
353	0.5107064135
354	0.5106701636
355	0.5105835313
356	0.510518392
357	0.510479781
358	0.5104081557
359	0.5103513441
360	0.5102867899
361	0.5102322926
362	0.5101889063
363	0.5101454822
364	0.5100779206
365	0.5100159908
366	0.5099793493
367	0.5099265056
368	0.5098384431
369	0.509783619
370	0.509742766
371	0.5097068418
372	0.5096571492
373	0.5095750478
374	0.5095446525
375	0.509490425
376	0.5094353047
377	0.50938909
378	0.5093366286
379	0.5092849648
380	0.5092180007
381	0.509169818
382	0.5091316913
383	0.5090787081
384	0.5090432266
385	0.5089809275
386	0.5089119942
387	0.5088571183
388	0.508801763
389	0.5087313304
390	0.508652611
391	0.5085979855
392	0.5085374245
393	0.508470391
394	0.5083821597
395	0.5083082832
396	0.508263889
397	0.508230054
398	0.5081577257
399	0.5081019081
