iter	Passed	Remaining
0	28	11214
1	54	10847
2	76	10179
3	100	9924
4	112	8853
5	132	8695
6	155	8746
7	179	8806
8	200	8711
9	231	9015
10	254	8997
11	279	9021
12	308	9173
13	338	9332
14	365	9383
15	397	9535
16	426	9615
17	455	9659
18	482	9668
19	522	9924
20	561	10129
21	597	10266
22	633	10391
23	671	10522
24	697	10464
25	720	10361
26	743	10278
27	762	10135
28	783	10025
29	807	9954
30	828	9866
31	850	9777
32	870	9680
33	893	9614
34	914	9532
35	933	9441
36	955	9376
37	979	9327
38	1002	9278
39	1023	9208
40	1046	9165
41	1073	9154
42	1098	9122
43	1121	9072
44	1144	9026
45	1172	9020
46	1193	8963
47	1214	8906
48	1235	8853
49	1259	8818
50	1282	8778
51	1306	8744
52	1333	8730
53	1359	8713
54	1380	8659
55	1404	8630
56	1428	8594
57	1451	8560
58	1473	8518
59	1497	8483
60	1522	8461
61	1550	8452
62	1574	8423
63	1596	8382
64	1620	8353
65	1642	8311
66	1664	8270
67	1688	8245
68	1716	8234
69	1742	8216
70	1765	8178
71	1788	8149
72	1812	8117
73	1833	8079
74	1858	8051
75	1882	8024
76	1910	8014
77	1937	7998
78	1959	7960
79	1981	7927
80	2004	7895
81	2028	7867
82	2055	7851
83	2082	7833
84	2106	7805
85	2130	7778
86	2154	7752
87	2175	7712
88	2199	7684
89	2222	7656
90	2247	7630
91	2269	7598
92	2293	7570
93	2320	7555
94	2345	7528
95	2367	7496
96	2387	7456
97	2407	7417
98	2427	7381
99	2450	7352
100	2472	7320
101	2495	7291
102	2519	7264
103	2543	7238
104	2562	7200
105	2582	7161
106	2602	7126
107	2621	7088
108	2643	7056
109	2662	7019
110	2683	6987
111	2708	6964
112	2733	6941
113	2760	6925
114	2788	6911
115	2821	6907
116	2848	6889
117	2874	6869
118	2902	6852
119	2926	6829
120	2952	6806
121	2985	6803
122	3021	6803
123	3048	6784
124	3075	6766
125	3104	6751
126	3126	6721
127	3149	6693
128	3172	6665
129	3200	6646
130	3224	6620
131	3247	6594
132	3269	6562
133	3292	6535
134	3324	6526
135	3353	6509
136	3377	6484
137	3404	6464
138	3427	6436
139	3450	6408
140	3474	6381
141	3500	6359
142	3522	6331
143	3543	6300
144	3563	6267
145	3583	6233
146	3603	6202
147	3624	6171
148	3645	6141
149	3664	6107
150	3686	6078
151	3707	6049
152	3728	6019
153	3749	5988
154	3770	5960
155	3792	5931
156	3819	5911
157	3845	5889
158	3868	5863
159	3894	5842
160	3922	5823
161	3949	5803
162	3980	5787
163	4008	5768
164	4035	5748
165	4070	5737
166	4099	5720
167	4129	5702
168	4158	5683
169	4186	5664
170	4215	5645
171	4246	5628
172	4271	5604
173	4298	5583
174	4323	5558
175	4352	5539
176	4381	5520
177	4414	5505
178	4449	5493
179	4482	5478
180	4520	5469
181	4558	5459
182	4595	5449
183	4637	5444
184	4671	5428
185	4700	5407
186	4732	5390
187	4759	5367
188	4784	5340
189	4808	5314
190	4835	5291
191	4863	5269
192	4888	5243
193	4916	5220
194	4943	5197
195	4974	5177
196	5001	5154
197	5026	5128
198	5049	5100
199	5070	5070
200	5091	5040
201	5113	5011
202	5136	4984
203	5156	4954
204	5176	4924
205	5199	4896
206	5221	4868
207	5244	4840
208	5267	4813
209	5292	4788
210	5315	4761
211	5339	4734
212	5361	4706
213	5382	4678
214	5403	4649
215	5424	4620
216	5445	4591
217	5466	4563
218	5488	4536
219	5508	4507
220	5526	4476
221	5549	4449
222	5572	4423
223	5591	4393
224	5612	4364
225	5631	4336
226	5651	4307
227	5671	4278
228	5689	4248
229	5710	4220
230	5732	4194
231	5753	4166
232	5772	4137
233	5797	4112
234	5824	4089
235	5850	4065
236	5876	4041
237	5903	4018
238	5932	3996
239	5963	3975
240	5995	3955
241	6025	3934
242	6053	3911
243	6083	3889
244	6114	3868
245	6142	3845
246	6174	3824
247	6203	3802
248	6236	3781
249	6268	3761
250	6304	3742
251	6342	3725
252	6379	3706
253	6411	3685
254	6433	3658
255	6457	3632
256	6480	3605
257	6501	3578
258	6526	3553
259	6548	3525
260	6570	3499
261	6595	3474
262	6615	3446
263	6638	3419
264	6660	3393
265	6682	3366
266	6704	3339
267	6730	3315
268	6755	3289
269	6779	3264
270	6803	3238
271	6825	3212
272	6850	3186
273	6877	3162
274	6901	3137
275	6923	3110
276	6950	3086
277	6973	3060
278	7001	3036
279	7026	3011
280	7050	2985
281	7075	2960
282	7104	2937
283	7130	2912
284	7158	2888
285	7198	2869
286	7235	2848
287	7277	2829
288	7311	2808
289	7337	2783
290	7359	2756
291	7382	2730
292	7406	2704
293	7432	2679
294	7454	2653
295	7481	2628
296	7504	2602
297	7527	2576
298	7553	2551
299	7577	2525
300	7600	2499
301	7625	2474
302	7651	2449
303	7676	2424
304	7706	2400
305	7728	2374
306	7753	2348
307	7777	2323
308	7801	2297
309	7823	2271
310	7847	2245
311	7871	2220
312	7893	2193
313	7916	2168
314	7940	2142
315	7962	2116
316	7985	2090
317	8010	2065
318	8034	2040
319	8058	2014
320	8084	1989
321	8105	1963
322	8129	1938
323	8152	1912
324	8176	1886
325	8201	1861
326	8229	1837
327	8253	1811
328	8279	1786
329	8302	1761
330	8327	1735
